codigo_ine,nombre,nombre_oficial,provincia_codigo,activo
05225,Santa María del Berrocal,Santa María del Berrocal,05,True
05226,Santa María de los Caballeros,Santa María de los Caballeros,05,True
05227,Santa María del Tiétar,Santa María del Tiétar,05,True
05228,Santiago del Collado,Santiago del Collado,05,True
05229,Santo Domingo de las Posadas,Santo Domingo de las Posadas,05,True
05230,Santo Tomé de Zabarcos,Santo Tomé de Zabarcos,05,True
05231,San Vicente de Arévalo,San Vicente de Arévalo,05,True
05232,"Serrada, La","Serrada, La",05,True
05233,Serranillos,Serranillos,05,True
05234,Sigeres,Sigeres,05,True
05235,Sinlabajos,Sinlabajos,05,True
05236,Solana de Ávila,Solana de Ávila,05,True
05237,Solana de Rioalmar,Solana de Rioalmar,05,True
05238,Solosancho,Solosancho,05,True
05239,Sotalbo,Sotalbo,05,True
05240,Sotillo de la Adrada,Sotillo de la Adrada,05,True
05241,"Tiemblo, El","Tiemblo, El",05,True
05242,Tiñosillos,Tiñosillos,05,True
05243,Tolbaños,Tolbaños,05,True
05244,Tormellas,Tormellas,05,True
05245,Tornadizos de Ávila,Tornadizos de Ávila,05,True
05246,Tórtoles,Tórtoles,05,True
05247,"Torre, La","Torre, La",05,True
