codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp
10,Cáceres,CABALLEROS DE YUSTE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14881&index=1&lang=es_ES,=14881,2026-01-27T18:50:16.723383
10,Cáceres,TASHI DELEK,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15196&index=1&lang=es_ES,=15196,2026-01-27T18:50:16.744227
10,Cáceres,RE BROSS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15261&index=1&lang=es_ES,=15261,2026-01-27T18:50:16.764723
10,Cáceres,VANDERLINDE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15517&index=1&lang=es_ES,=15517,2026-01-27T18:50:16.785472
10,Cáceres,EMMANUEL DE ESPAÑA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15864&index=1&lang=es_ES,=15864,2026-01-27T18:50:16.802208
10,Cáceres,OBRA PIA DE LOS PIZARRO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16174&index=1&lang=es_ES,=16174,2026-01-27T18:50:16.818395
10,Cáceres,INTERFAMILIAS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16175&index=1&lang=es_ES,=16175,2026-01-27T18:50:16.837677
10,Cáceres,IGUALDAD CIUDADANA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16176&index=1&lang=es_ES,=16176,2026-01-27T18:50:16.858223
10,Cáceres,Campo Vivo,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17429&index=1&lang=es_ES,=17429,2026-01-27T18:50:16.868519
10,Cáceres,GRUPO EDIFISSA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18447&index=1&lang=es_ES,=18447,2026-01-27T18:50:16.889550
10,Cáceres,ANTONIO GOMEZ MARTIN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18975&index=1&lang=es_ES,=18975,2026-01-27T18:50:16.899910
10,Cáceres,VICTORIA SERRADILLA DE CARRERO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18792&index=1&lang=es_ES,=18792,2026-01-27T18:50:16.920583
11,Cádiz,CÁDIZ CLUB DE FÚTBOL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4236&index=1&lang=es_ES,=4236,2026-01-27T18:50:20.439045
11,Cádiz,UIMP/CAMPO DE GIBRALTAR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4625&index=1&lang=es_ES,=4625,2026-01-27T18:50:20.459812
11,Cádiz,INTERPUEBLOS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4807&index=1&lang=es_ES,=4807,2026-01-27T18:50:20.470183
11,Cádiz,OSKAR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4900&index=1&lang=es_ES,=4900,2026-01-27T18:50:20.491059
11,Cádiz,BRÂSSICA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5510&index=1&lang=es_ES,=5510,2026-01-27T18:50:20.504413
11,Cádiz,CASA DE MEDINA SIDONIA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10190&index=1&lang=es_ES,=10190,2026-01-27T18:50:20.521764
11,Cádiz,GONZÁLEZ GORDON,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10208&index=1&lang=es_ES,=10208,2026-01-27T18:50:20.533298
11,Cádiz,PLANETA VIVO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10248&index=1&lang=es_ES,=10248,2026-01-27T18:50:20.554866
11,Cádiz,LUIS GOYTISOLO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10257&index=1&lang=es_ES,=10257,2026-01-27T18:50:20.565004
11,Cádiz,INFANTES DUQUES DE MONTPENSIER,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10312&index=1&lang=es_ES,=10312,2026-01-27T18:50:20.590473
