Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Andalucia Occidental,Cadiz,"Puerto de Santa Maria, el Nº 02",Puerto Real,"Templo Parroquial de ""San Sebastián"", con sus anejos y dependencias",Templo parroquial,True,Obispado de Cáidiz y Huelva,False
Andalucia Occidental,Cadiz,"Puerto de Santa Maria, el Nº 02",Puerto Real,"Iglesia de la Victoria, con sus anejos y dependencias",Iglesia,True,Obispado de Cáidiz y Huelva,False
Andalucia Occidental,Cadiz,"Puerto de Santa Maria, El Nº 04",El Puerto de Santa Maria,"Solar y edificación para fines Religiosos en c/Trabuco, 2 de la Sierra San Cristóbal",Edificación para fines Religiosos,True,Diocesis de Asidonia-Jerez,False
Andalucia Occidental,Cadiz,San Fernando Nº 01,San Fernando,Templo Parroquial de la Divina Pastora,Templo parroquial,True,Diocésis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,San Fernando Nº 01,San Fernando,"Vivienda unifamiliar en C/ Maestro Portela, 37",Vivienda unifamiliar,False,Fundación Patronato de San José,False
Andalucia Occidental,Cadiz,San Roque,Jimena de la Frontera,Iglesia de la Misedicordia con sus anejos y dependencias,Iglesia,True,Diocesis de Cadiz,False
Andalucia Occidental,Cadiz,Sanlucar de Barrameda,Sanlucar,Capilla de los Desamparados,Capilla,True,Diócesis de Asidonia-Jerez,False
Andalucia Occidental,Cadiz,Ubrique,Ubrique,"Finca denominada ""Ermita del Calvario""",Ermita,True,Diócesis de Asidonia Jerez,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Paraje Jojina,Olivar,False,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Paraje Atalaya,Olivar,False,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Paraje las Minas,Rústica,False,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Iglesia  de la Candelaria,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Iglesia de la Veracruz,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Iglesia de Santa Brigida,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Parroquia Nuesta Sra  del Carmen,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Parroquia Sta Maria de Soterraño,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Aguilar de la Frontera,Aguilar de la Frontera,Parroquia Sto Cristo de la Salud,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Monturque,Monturque,Parroquia de San Mateo,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Monturque,Monturque,Vivienda anexa a la Parroquia,Vivienda,False,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Monturque,Moriles,Parroquia de San Jeronimo,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Parroquia Nuestro Padre Jesus Nazareno,Iglesia,True,Obispado de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Iglesia de Veracruz,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Parroquia de San Jose,Parroquia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Iglesia de la Purisima Concepcion,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Vivienda anexa a la Parroquia,Vivienda,False,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Iglesia Dulce Nombre,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Vivienda anexa a la Parroquia,Vivienda,False,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Ermita de Castro del Rio,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Parroquia de Santiago El Mayor,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Vivienda anexa a la Parroquia,Vivienda,False,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Iglesia Nuestra Señora de los Desamparados,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Iglesia de la Aldea del Palomar,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Parroquia Nuestra Señora de la Purificacion,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Vivienda anexa a la Parroquia,Casa de la iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Iglesia Nuestra Señora de la Victoria,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Puente Genil,Puente Genil,Iglesia de San Juan Bautista,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Baena,Baena,Iglesia,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Baena,Albendin,Parroquia,Parroquia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Baena,Baena,Parroquia,Parroquia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Baena,Baena,Parroquia,Parroquia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Baena,Baena,Iglesia,Iglesia,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Baena,Baena,Inmueble Destinado Al Culto Católico,Inmueble Destinado Al Culto Católico,True,Diócesis de Córdoba,False
Andalucia Occidental,Cordoba,Baena,Baena,Parroquia,Parroquia,True,Diócesis de Córdoba,False
