comunidad_autonoma_codigo,codigo_ine,codigo_ine_completo,nombre_oficial,nombre_alternativo,nombre_cooficial,provincia_codigo,activo
01,04056,0405601,Laroya,Laroya,Laroya,04,True
01,04057,0405707,Laujar de Andarax,Laujar de Andarax,Laujar de Andarax,04,True
01,04058,0405803,Líjar,Líjar,Líjar,04,True
01,04059,0405906,Lubrín,Lubrín,Lubrín,04,True
01,04060,0406000,Lucainena de las Torres,Lucainena de las Torres,Lucainena de las Torres,04,True
01,04061,0406107,Lúcar,Lúcar,Lúcar,04,True
01,04062,0406202,Macael,Macael,Macael,04,True
01,04063,0406308,María,María,María,04,True
01,04064,0406403,Mojácar,Mojácar,Mojácar,04,True
01,04903,0490302,"Mojonera, La","Mojonera, La","Mojonera, La",04,True
01,04065,0406506,Nacimiento,Nacimiento,Nacimiento,04,True
01,04066,0406609,Níjar,Níjar,Níjar,04,True
01,04067,0406705,Ohanes,Ohanes,Ohanes,04,True
01,04068,0406801,Olula de Castro,Olula de Castro,Olula de Castro,04,True
01,04069,0406904,Olula del Río,Olula del Río,Olula del Río,04,True
01,04070,0407008,Oria,Oria,Oria,04,True
01,04071,0407105,Padules,Padules,Padules,04,True
01,04072,0407200,Partaloa,Partaloa,Partaloa,04,True
01,04073,0407306,Paterna del Río,Paterna del Río,Paterna del Río,04,True
01,04074,0407401,Pechina,Pechina,Pechina,04,True
01,04075,0407504,Pulpí,Pulpí,Pulpí,04,True
01,04076,0407607,Purchena,Purchena,Purchena,04,True
01,04077,0407703,Rágol,Rágol,Rágol,04,True
01,04078,0407809,Rioja,Rioja,Rioja,04,True
01,04079,0407902,Roquetas de Mar,Roquetas de Mar,Roquetas de Mar,04,True
01,04080,0408006,Santa Cruz de Marchena,Santa Cruz de Marchena,Santa Cruz de Marchena,04,True
01,04081,0408103,Santa Fe de Mondújar,Santa Fe de Mondújar,Santa Fe de Mondújar,04,True
01,04082,0408208,Senés,Senés,Senés,04,True
01,04083,0408304,Serón,Serón,Serón,04,True
01,04084,0408409,Sierro,Sierro,Sierro,04,True
01,04085,0408502,Somontín,Somontín,Somontín,04,True
01,04086,0408605,Sorbas,Sorbas,Sorbas,04,True
01,04087,0408701,Suflí,Suflí,Suflí,04,True
01,04088,0408807,Tabernas,Tabernas,Tabernas,04,True
01,04089,0408900,Taberno,Taberno,Taberno,04,True
01,04090,0409004,Tahal,Tahal,Tahal,04,True
01,04091,0409101,Terque,Terque,Terque,04,True
01,04092,0409206,Tíjola,Tíjola,Tíjola,04,True
01,04901,0490101,"Tres Villas, Las","Tres Villas, Las","Tres Villas, Las",04,True
01,04093,0409302,Turre,Turre,Turre,04,True
01,04094,0409407,Turrillas,Turrillas,Turrillas,04,True
01,04095,0409500,Uleila del Campo,Uleila del Campo,Uleila del Campo,04,True
01,04096,0409603,Urrácal,Urrácal,Urrácal,04,True
01,04097,0409709,Velefique,Velefique,Velefique,04,True
